the	6057989	199956	463921.0800835814	<-- 43.101%
of	3055232	68495	233969.80901515676	<-- 29.275%
and	2642049	89045	202328.23560982797	<-- 44.01%
to	2606450	294034	199602.06252996673	
in	1957527	73907	149907.50893287736	<-- 49.302%
that	1119596	234251	85738.71388298285	
it	1053427	70138	80671.4887777457	
is	977471	106175	74854.77475617376	
for	896689	47362	68668.48542958175	
was	861976	76168	66010.16227103172	
on	739042	35404	56595.87081903419	
you	668133	176213	51165.65629278684	
with	659588	36257	50511.27979436233	
be	655737	60860	50216.3700348032	
as	654646	24937	50132.821203933556	<-- 49.742%
he	640216	106705	49027.77113111135	
at	528327	27399	40459.30629410491	
by	523452	19243	40085.97856680011	<-- 48.004%
are	458072	37926	35079.17511835137	
this	457968	41598	35071.2107935022	
have	448253	53539	34327.23564052454	
but	446266	13408	34175.07108787743	<-- 39.233%
not	435262	34972	33332.38425479805	
from	428225	14058	32793.49046668649	<-- 42.868%
they	419955	59631	32160.173481084305	
had	412307	22309	31574.489284483876	
his	409621	35673	31368.79527924476	
or	373496	6977	28602.341094857933	<-- 24.393%
which	365492	3057	27989.394401658425	<-- 10.922%
she	352161	64731	26968.50580007889	
we	350892	49383	26871.3257209097	
an	338324	12300	25908.86769490628	<-- 47.474%
there	319434	21102	24462.27061412933	
were	307852	21290	23575.32051409976	
one	305470	18099	23392.90684303514	
her	303291	33423	23226.038921435724	
all	289924	18498	22202.393438177627	
been	259926	17630	19905.145199472132	
their	254392	10919	19481.35122144039	
if	253434	20666	19407.98753677208	
has	252480	25722	19334.930172290282	
will	251280	22107	19243.03411633833	
so	242521	12174	18572.269487935722	
can	241380	37084	18484.891654734743	
what	240640	46221	18428.222420231043	
no	232636	12678	17815.275727031534	
would	230475	22914	17649.786246271397	
up	221531	14339	16964.854309242863	
when	209672	15338	16056.691536297718	
more	209619	10249	16052.632793826508	
out	203035	15765	15548.429766836807	
who	200859	17899	15381.791585377272	
about	195935	20405	15004.71143578777	
said	195341	53431	14959.222888091555	
do	177526	120631	13594.94935743823	
some	167200	8907	12804.183795971701	
them	167173	12521	12802.116134712782	
time	164136	18802	12569.542533107722	
two	161353	3970	12356.420263345824	<-- 32.129%
its	160375	1521	12281.524977744984	<-- 12.384%
into	157721	6139	12078.281533997922	
then	154693	1984	11846.397152812502	<-- 16.748%
other	154326	5040	11818.29227570053	<-- 42.646%
him	153570	22820	11760.397760450802	
like	151839	27819	11627.837699740114	
well	151282	6650	11585.182613769084	
only	149030	8916	11412.724348765925	
my	146750	31459	11238.12184245722	
than	144902	11358	11096.601916291216	
could	143762	15876	11009.300663136864	
now	139380	11534	10673.726898818994	
over	135962	5548	10411.976299449188	
your	134459	21489	10296.876489369371	
may	131786	4597	10092.178024736402	<-- 45.55%
me	131662	56818	10082.682098954701	
first	128091	5017	9809.214752451024	
just	126477	13662	9685.614557195651	
any	125877	8468	9639.666529219676	
new	125381	5180	9601.68282609287	
these	123526	3570	9459.62683960048	<-- 37.739%
also	123447	1411	9453.577015916977	<-- 14.926%
people	121894	7533	9334.648203505829	
know	119584	49071	9157.748295798325	
very	119508	19810	9151.928212254701	
see	115358	9921	8834.121018754207	
after	114542	4788	8771.631700706881	
